%roll pitch yaw
0.00796796 -0.00515861 -0.048011
0.00796201 -0.00517407 -0.0480117
0.00796469 -0.00517073 -0.0480257
0.00796808 -0.00517043 -0.0480401
0.00798869 -0.00517719 -0.0480554
0.00800153 -0.00518299 -0.0480642
0.0080042 -0.00517451 -0.0480676
0.00800792 -0.00516724 -0.048068
0.0080016 -0.00516277 -0.0480747
0.00799516 -0.00516851 -0.0480585
0.00799522 -0.00515614 -0.0480331
0.00798765 -0.00514634 -0.0480349
0.00798033 -0.00515254 -0.0480423
0.00797164 -0.00516937 -0.0480537
0.00797088 -0.00516427 -0.0480635
0.00796288 -0.00516651 -0.0480526
0.00795952 -0.00517483 -0.0480572
0.00795887 -0.00518972 -0.0480642
0.00796645 -0.00518905 -0.0480782
0.00796088 -0.00517715 -0.048089
0.0079548 -0.00517433 -0.0481002
0.00795569 -0.00518951 -0.0481033
0.00795768 -0.00519875 -0.0480989
0.00795639 -0.00519623 -0.0480812
0.0079611 -0.00520259 -0.0480467
0.00796562 -0.00520643 -0.0480333
0.00797126 -0.00521035 -0.0480263
0.00797034 -0.00519996 -0.0480229
0.00797182 -0.00517951 -0.0480129
0.00796628 -0.00518819 -0.0479947
0.0079624 -0.00519844 -0.0479724
0.00797088 -0.00519667 -0.0479631
0.00797606 -0.00518382 -0.0479739
0.00798294 -0.00518206 -0.047985
0.00800044 -0.00518913 -0.0479882
0.00800357 -0.00517999 -0.0479868
0.00799729 -0.00517216 -0.047984
0.0079971 -0.00517591 -0.0479845
0.00800131 -0.00518067 -0.0479854
0.0080004 -0.00518296 -0.0479791
0.00800838 -0.0051756 -0.0479719
0.0080137 -0.00518749 -0.0479804
0.00801798 -0.00521147 -0.0479779
0.00802217 -0.00521397 -0.0479867
0.0080207 -0.00519615 -0.0479977
0.00801209 -0.00519062 -0.0479999
0.00801454 -0.00520249 -0.0480018
0.00801215 -0.00519918 -0.0479998
0.00801014 -0.00518729 -0.047997
0.00800707 -0.00517545 -0.0479829
0.00800107 -0.0051935 -0.0479655
0.00800936 -0.00519815 -0.0479541
0.00800346 -0.00519136 -0.0479476
0.0079988 -0.00518869 -0.0479394
0.00799916 -0.00520387 -0.0479478
0.00801088 -0.00521379 -0.0479532
0.00801335 -0.00520534 -0.0479424
0.00801038 -0.00519553 -0.0479517
0.00800895 -0.00520129 -0.0479492
0.00800058 -0.00520836 -0.0479365
0.00799449 -0.005209 -0.0479276
0.00800271 -0.00521012 -0.0479146
0.00800687 -0.00521848 -0.0479045
0.00800567 -0.00521594 -0.0478946
0.00800702 -0.00520888 -0.0478822
0.00800188 -0.00520439 -0.0478687
0.00800718 -0.00520818 -0.0478712
0.00800777 -0.00521564 -0.0478841
0.00801533 -0.00520127 -0.0478833
0.00801805 -0.00519805 -0.0478821
0.00800623 -0.00520314 -0.0478762
0.00799525 -0.00520348 -0.0478818
0.00797913 -0.00519267 -0.0478878
0.00797978 -0.00518745 -0.0478834
0.00798634 -0.00519272 -0.0478684
0.00799345 -0.0052042 -0.0478599
0.00799277 -0.00519853 -0.0478565
0.00798866 -0.00517792 -0.0478713
0.00799333 -0.00516696 -0.0478648
0.00798745 -0.00516826 -0.0478569
0.00799305 -0.00517978 -0.0478589
0.00800214 -0.00517383 -0.0478619
0.00801248 -0.00517008 -0.047858
0.00801306 -0.0051878 -0.0478628
0.00801153 -0.00520064 -0.0478508
0.00799897 -0.0051965 -0.0478461
0.00799799 -0.00518997 -0.0478397
0.0080031 -0.00519668 -0.0478248
0.00800402 -0.00520563 -0.0478084
0.00801352 -0.0052077 -0.0478012
0.00802278 -0.00519705 -0.0478033
0.00803058 -0.00518918 -0.0477968
0.00803412 -0.00519237 -0.0478092
0.00803709 -0.00519853 -0.0478213
0.00803315 -0.00519912 -0.0478305
0.00803843 -0.00520253 -0.0478315
0.00803683 -0.00522258 -0.0478339
0.00802797 -0.00522429 -0.0478287
0.00801826 -0.00521737 -0.0478112
0.00801871 -0.00520694 -0.0477997
0.00802766 -0.00520732 -0.0477935
0.00804106 -0.00521031 -0.047782
0.00803792 -0.00520549 -0.04778
0.00803697 -0.00518829 -0.0477918
0.00803391 -0.00518422 -0.047798
0.00803011 -0.00517013 -0.0478117
0.00803255 -0.00516061 -0.0478114
0.00803792 -0.00518131 -0.0478168
0.00804418 -0.00519328 -0.047817
0.00804385 -0.00518997 -0.0478315
0.00804931 -0.00519369 -0.0478455
0.00804535 -0.00520593 -0.0478557
0.00804551 -0.00520337 -0.0478677
0.00804757 -0.00518741 -0.0478785
0.00804651 -0.0051764 -0.0478817
0.00803965 -0.00518611 -0.0478916
0.00803015 -0.00519325 -0.0479019
0.00803064 -0.0051892 -0.0478918
0.00803081 -0.00519813 -0.0478785
0.00803135 -0.00520569 -0.0478673
0.00802501 -0.00520461 -0.0478605
0.008027 -0.0051972 -0.0478535
0.00802648 -0.00519147 -0.0478659
0.00802642 -0.00518867 -0.0478771
0.00803478 -0.00517742 -0.0478791
0.00803933 -0.00517022 -0.0478748
0.00802898 -0.00517392 -0.0478788
0.00802305 -0.0051738 -0.0478809
0.00802214 -0.00516351 -0.0478935
0.00802911 -0.00515139 -0.0479122
0.00803523 -0.00515557 -0.0479208
0.00804325 -0.00516079 -0.0479297
0.00804673 -0.00516383 -0.0479192
0.00805498 -0.00516075 -0.0478997
0.0080544 -0.00516904 -0.0478932
0.00805363 -0.0051737 -0.0478912
0.00804474 -0.00517052 -0.0478895
0.0080499 -0.00515114 -0.0478742
