%roll pitch yaw
0.0074116 -0.00462308 -0.174546
0.00741216 -0.0046176 -0.174531
0.00741325 -0.00460036 -0.174523
0.0074099 -0.0045844 -0.174508
0.00741068 -0.0045791 -0.174485
0.00740417 -0.00459346 -0.174473
0.00739082 -0.0046052 -0.174477
0.00738638 -0.00460427 -0.174502
0.00737913 -0.00458418 -0.174509
0.00737481 -0.00455812 -0.174501
0.00737913 -0.0045567 -0.174497
0.00738518 -0.00456864 -0.174494
0.0073849 -0.00459116 -0.174513
0.00738671 -0.00461746 -0.17455
0.00738164 -0.00462515 -0.174583
0.00738669 -0.00462477 -0.174596
0.00739161 -0.0046188 -0.174604
0.00739728 -0.00461891 -0.174608
0.00739793 -0.00462711 -0.174609
0.00740823 -0.00464325 -0.174608
0.00740896 -0.00464881 -0.174585
0.00742108 -0.00464304 -0.174562
0.00741102 -0.00462262 -0.174548
0.00740393 -0.00460966 -0.174542
0.00739469 -0.00461891 -0.174548
0.00739674 -0.00464632 -0.174551
0.00738828 -0.00466158 -0.17455
0.00739929 -0.00466515 -0.174547
0.00739688 -0.0046644 -0.174551
0.0074049 -0.00464429 -0.174554
0.00740366 -0.00463044 -0.174554
0.00740686 -0.00463811 -0.174541
0.00741677 -0.00465329 -0.174539
0.00742522 -0.00467871 -0.174531
0.00742015 -0.00468387 -0.174528
0.00742112 -0.0046717 -0.174529
0.0074253 -0.0046483 -0.174531
0.00742495 -0.00463616 -0.174522
0.0074176 -0.00462972 -0.174508
0.00741087 -0.00464821 -0.174505
0.00740451 -0.0046665 -0.174507
0.00739637 -0.00468076 -0.174499
0.00739702 -0.00467465 -0.174503
0.00740076 -0.00466041 -0.174496
0.00741335 -0.00466182 -0.174486
0.00741012 -0.00467096 -0.174487
0.00740026 -0.00468284 -0.174497
0.00738609 -0.00468682 -0.174514
0.00739091 -0.00467385 -0.17452
0.00738858 -0.00466208 -0.174524
0.00739919 -0.00465413 -0.174521
0.00740062 -0.00466578 -0.174519
0.00739767 -0.00468998 -0.174507
0.00740169 -0.00470354 -0.174487
0.00740759 -0.0047113 -0.174479
0.00740665 -0.00469742 -0.174464
0.00741809 -0.00467578 -0.174452
0.00741242 -0.00465995 -0.174456
0.0074079 -0.0046677 -0.174451
0.00739392 -0.00468061 -0.174465
0.0073927 -0.00469227 -0.174464
0.00738525 -0.00469103 -0.174464
0.0073896 -0.00468623 -0.174465
0.00738206 -0.00467125 -0.174487
0.00737906 -0.00465973 -0.174508
0.00737438 -0.00466059 -0.174535
0.00737133 -0.0046855 -0.174554
0.00737027 -0.00469339 -0.174553
0.00737261 -0.00468482 -0.174566
0.00737484 -0.00466635 -0.174578
0.00737375 -0.00465909 -0.174575
0.0073799 -0.0046564 -0.174569
0.00738471 -0.00467011 -0.17457
0.00740186 -0.00466856 -0.174586
0.00741171 -0.00465425 -0.174583
0.00742233 -0.0046427 -0.174568
0.00741712 -0.00463902 -0.174566
0.00741486 -0.00465998 -0.174567
0.00739322 -0.00467842 -0.174562
0.0073847 -0.0046824 -0.174544
0.00738278 -0.00467812 -0.174536
0.00738865 -0.00465844 -0.174546
0.00739405 -0.00465033 -0.174541
0.0073818 -0.00465051 -0.174538
0.00738037 -0.00464322 -0.174536
0.00737297 -0.00462839 -0.174524
0.00737875 -0.0046208 -0.174512
0.00738538 -0.00464388 -0.174517
0.00738275 -0.00466671 -0.174518
0.00737394 -0.00468364 -0.174505
0.00736361 -0.00467501 -0.1745
0.00737948 -0.00466151 -0.174494
0.00738353 -0.00466273 -0.174483
0.00738415 -0.00467335 -0.174479
0.00738218 -0.00467899 -0.174471
0.00737289 -0.00466556 -0.174469
0.00737134 -0.00466025 -0.174474
0.00737224 -0.00466437 -0.174482
0.00737513 -0.00468434 -0.17448
0.00736853 -0.00469942 -0.174477
0.00737305 -0.00468563 -0.174467
0.00736433 -0.00465724 -0.174454
0.00737241 -0.00465611 -0.174461
0.00736604 -0.00466975 -0.174474
0.00736496 -0.00468458 -0.174482
0.00736468 -0.0046762 -0.174491
0.00737291 -0.0046632 -0.17449
0.00737213 -0.00465674 -0.174475
0.00737618 -0.00465149 -0.174475
0.00737228 -0.0046581 -0.174475
0.0073703 -0.00467729 -0.17448
0.0073706 -0.00469028 -0.174488
0.0073708 -0.00469156 -0.174501
0.00736645 -0.00468826 -0.174512
0.00737098 -0.00466817 -0.174519
0.00737707 -0.00465377 -0.174516
0.00737773 -0.00466226 -0.174516
0.00738046 -0.00469635 -0.17452
0.00737778 -0.00471451 -0.174527
0.00738003 -0.00471639 -0.174531
0.00737917 -0.00470517 -0.174526
0.00737404 -0.00469642 -0.174516
0.00737943 -0.00470443 -0.174509
0.00738761 -0.00471247 -0.174506
0.00738255 -0.00471816 -0.1745
0.00737684 -0.00470572 -0.174479
0.00737134 -0.00468891 -0.174478
0.00737035 -0.00468297 -0.174487
0.00735606 -0.00468679 -0.174498
0.00735571 -0.00471744 -0.174502
0.00735578 -0.00473805 -0.17451
0.0073627 -0.00474361 -0.174527
0.00737174 -0.00473888 -0.174537
0.00736834 -0.00472542 -0.174547
0.00735944 -0.00471786 -0.174555
0.00735008 -0.00473121 -0.174553
0.00734001 -0.00475023 -0.174545
0.00734199 -0.00475805 -0.174557
0.00734633 -0.0047592 -0.174573
0.00734787 -0.00475113 -0.174589
0.00735353 -0.00475128 -0.174597
0.00736246 -0.00476319 -0.174599
0.00738827 -0.00477033 -0.174591
0.00739552 -0.00478403 -0.174575
0.00740167 -0.00479208 -0.174556
0.00739463 -0.00479426 -0.174555
0.0073857 -0.00478359 -0.174556
0.00737797 -0.00477188 -0.174564
0.00737661 -0.00476314 -0.17458
0.00738377 -0.00474778 -0.17458
0.00738814 -0.00474611 -0.174575
0.00739216 -0.00475 -0.174557
0.00739275 -0.00475849 -0.174553
0.00739519 -0.00477267 -0.174548
0.0073983 -0.00478613 -0.17454
0.00739212 -0.00481209 -0.174529
0.00738273 -0.0048359 -0.174527
0.00737364 -0.00483261 -0.174524
0.00737079 -0.00481517 -0.174508
0.00737135 -0.00480961 -0.174497
0.00738437 -0.00479437 -0.174487
0.00738688 -0.00478262 -0.174492
0.00738864 -0.00477401 -0.174507
0.00739185 -0.00476882 -0.174495
0.00738098 -0.00476338 -0.174479
0.00738345 -0.00475563 -0.174464
0.00738461 -0.00474856 -0.174448
0.00737525 -0.00475369 -0.174453
0.00736727 -0.00476817 -0.17446
0.00736616 -0.00479109 -0.174475
0.00737092 -0.00481014 -0.174478
0.00736662 -0.0048328 -0.174486
0.00735635 -0.00483862 -0.174501
0.00734846 -0.00483223 -0.174522
0.0073486 -0.0048286 -0.174537
0.00735366 -0.00482414 -0.174546
0.00735168 -0.00481936 -0.174541
0.0073528 -0.00480334 -0.174539
0.00735446 -0.00478497 -0.174533
0.00735955 -0.00476265 -0.174538
0.00736987 -0.00475219 -0.174526
0.00737213 -0.00474635 -0.174508
0.00735793 -0.00474156 -0.17451
0.00735606 -0.00474726 -0.174516
0.00735028 -0.00475603 -0.174529
0.00734222 -0.00477007 -0.174533
0.0073449 -0.00478611 -0.17454
0.00734828 -0.00480798 -0.174526
0.00735252 -0.0048288 -0.174503
0.00735663 -0.00484929 -0.174492
0.00736067 -0.00485984 -0.174495
0.00736067 -0.00484779 -0.174509
0.0073485 -0.00483069 -0.174506
0.00734908 -0.00480985 -0.174495
0.00734798 -0.00479402 -0.174488
0.00735718 -0.00478466 -0.174489
0.00736708 -0.00478264 -0.174504
0.00736497 -0.00478317 -0.174522
0.00736331 -0.00478204 -0.174536
0.00736546 -0.00478036 -0.174536
0.00737601 -0.00478938 -0.174536
0.00737577 -0.00479441 -0.174544
0.00738158 -0.00479937 -0.174532
0.00739338 -0.00481103 -0.17453
0.00739273 -0.00481043 -0.174531
0.00737833 -0.00480006 -0.174532
0.00737317 -0.00479351 -0.174537
0.00736671 -0.00477816 -0.174535
0.00735634 -0.00476755 -0.174551
0.0073614 -0.00475443 -0.174559
0.00737105 -0.00474401 -0.174567
0.00737448 -0.00473436 -0.174572
0.00737081 -0.00473714 -0.174584
0.00735859 -0.00474429 -0.174577
0.00736519 -0.00476889 -0.174559
0.00736802 -0.00479153 -0.174548
0.00736713 -0.00481195 -0.174546
0.00736067 -0.00481912 -0.174557
0.00736663 -0.00483323 -0.174564
0.00736894 -0.00484433 -0.174572
0.00736257 -0.00485497 -0.174558
0.00736722 -0.0048544 -0.174557
0.00736489 -0.004843 -0.174569
