%roll pitch yaw
0.00205277 -0.00269235 -0.173181
0.00204547 -0.00269713 -0.173177
0.002043 -0.00271027 -0.173156
0.0020348 -0.00270697 -0.173129
0.00202974 -0.00269008 -0.173115
0.00203828 -0.00268823 -0.173107
0.00203539 -0.00269732 -0.173085
0.00204578 -0.00270913 -0.173072
0.00203741 -0.00272092 -0.173061
0.00202442 -0.00270999 -0.173069
0.00201574 -0.00269345 -0.173071
0.00202377 -0.00269206 -0.173064
0.00203124 -0.00270057 -0.173041
0.00203952 -0.00271133 -0.173032
0.0020409 -0.00270623 -0.173042
0.00204414 -0.00269222 -0.173056
0.00205362 -0.00268462 -0.173059
0.00205811 -0.00269267 -0.173063
0.00206388 -0.00269723 -0.173073
0.00206836 -0.00269501 -0.173082
0.00206384 -0.00268151 -0.173091
0.0020553 -0.00267262 -0.173091
0.00205232 -0.00267506 -0.173082
0.00204831 -0.0026794 -0.173061
0.00204806 -0.00268919 -0.173037
0.0020435 -0.00268649 -0.173012
0.00203717 -0.00268395 -0.173014
0.00203606 -0.00268187 -0.17301
0.00202928 -0.00268722 -0.173009
0.00202311 -0.00270182 -0.173015
0.00202455 -0.00271077 -0.173022
0.00202699 -0.0027138 -0.173017
0.00203124 -0.00270919 -0.173002
0.0020331 -0.0026923 -0.173003
0.00204158 -0.00268522 -0.173004
0.00205531 -0.00269846 -0.17299
0.00205917 -0.0027133 -0.172997
0.00205752 -0.0027245 -0.173021
0.00204754 -0.00273223 -0.173046
0.00203385 -0.00273077 -0.173053
0.00203304 -0.0027208 -0.173052
0.00203212 -0.00270356 -0.173052
0.00203327 -0.0026887 -0.173055
0.00203111 -0.00267196 -0.173086
0.00203201 -0.00265372 -0.173116
0.00203031 -0.00264654 -0.173136
0.00203651 -0.00264282 -0.17314
0.00204877 -0.00263997 -0.173142
0.00204348 -0.00264839 -0.173144
0.00203168 -0.00265029 -0.173146
0.00202354 -0.00265205 -0.17315
0.00202451 -0.00265278 -0.173154
0.00202816 -0.00264712 -0.173147
0.00202441 -0.00265132 -0.173151
0.0020202 -0.00266057 -0.173148
0.00202089 -0.00267324 -0.17316
0.00202842 -0.00268351 -0.173172
0.00203829 -0.00269961 -0.173191
0.00203513 -0.00271115 -0.173191
0.00203652 -0.00272555 -0.173175
0.00203977 -0.00272824 -0.173155
0.00204153 -0.00274117 -0.17314
0.00205066 -0.00275384 -0.17313
0.00205492 -0.00274336 -0.17311
0.00204843 -0.00272654 -0.173081
0.00203604 -0.002723 -0.173081
0.00202613 -0.00273478 -0.173094
0.00202965 -0.00274371 -0.173115
0.00202477 -0.00274732 -0.17312
0.00202447 -0.00273552 -0.173136
0.00202246 -0.00274221 -0.17315
0.00202116 -0.00275603 -0.173152
0.00201151 -0.00277904 -0.173147
0.00201653 -0.00279261 -0.173137
