%roll pitch yaw
-0.0170738 0.02925 0.0014497
-0.0171052 0.0289636 0.0013913
-0.0171541 0.0286758 0.00132429
-0.017215 0.0283896 0.0012696
-0.0172786 0.0281102 0.00121953
-0.0173352 0.0278322 0.0011779
-0.0173913 0.027567 0.00114069
-0.0174339 0.0273083 0.00109558
-0.0174724 0.0270506 0.00107369
-0.0175014 0.026786 0.00105903
-0.0175144 0.0265016 0.00104326
-0.0175073 0.0262263 0.00103496
-0.0175033 0.0259541 0.00101029
-0.0175037 0.0256706 0.000969022
-0.0175234 0.0253795 0.000908319
-0.0175551 0.0250949 0.000841762
-0.0175927 0.0248158 0.000758102
-0.0176362 0.0245275 0.000676678
-0.0176683 0.0242181 0.000615169
-0.0176959 0.0239028 0.000545145
-0.0177121 0.0235947 0.000491032
-0.0177116 0.0232845 0.000432658
-0.0177014 0.0229675 0.000374025
-0.017676 0.0226666 0.000318702
-0.0176396 0.022356 0.000268277
-0.0176028 0.0220666 0.000223647
-0.0175631 0.0217838 0.00016603
-0.0175046 0.0215067 0.000101974
-0.0174358 0.0212402 3.90341e-05
-0.0173769 0.0209691 -3.37465e-05
-0.0173152 0.0206986 -0.000110999
-0.0172717 0.0204323 -0.000184134
-0.0172287 0.0201741 -0.00025155
-0.0171984 0.0199223 -0.000317076
-0.0171724 0.0196674 -0.000371186
-0.0171418 0.0194215 -0.000418647
-0.0171238 0.019184 -0.000469187
-0.0170806 0.0189377 -0.000532649
-0.0170246 0.0186767 -0.0005999
-0.0169629 0.0184301 -0.000658269
-0.0168973 0.0181857 -0.000717726
-0.0168183 0.0179363 -0.00077229
-0.0167337 0.0176827 -0.000815963
-0.0166515 0.0174281 -0.000871955
-0.0165679 0.0171783 -0.000945729
-0.0164918 0.0169287 -0.00101895
-0.0164197 0.0166841 -0.00110364
-0.0163386 0.0164438 -0.00116468
-0.0162551 0.0161974 -0.00121263
-0.0161642 0.0159565 -0.00126883
-0.0160951 0.015726 -0.00133687
-0.0160061 0.0155111 -0.0013964
