%roll pitch yaw
0.0066239 -0.00449698 -0.0752361
0.00662144 -0.00449996 -0.0752319
0.00661115 -0.00449553 -0.0752264
0.00661654 -0.00449549 -0.0752102
0.00662789 -0.00448883 -0.0752018
0.00663411 -0.00449728 -0.0751862
0.00664213 -0.00449512 -0.0751696
0.00663525 -0.00447831 -0.0751539
0.00662606 -0.00446283 -0.0751564
0.00662174 -0.00446081 -0.075159
0.00662253 -0.00446143 -0.0751594
0.00661831 -0.00447781 -0.0751773
0.0066153 -0.00448939 -0.0752214
0.00662073 -0.00449831 -0.0752412
0.00663518 -0.00450076 -0.0752362
0.00663598 -0.00450456 -0.0752338
0.00664257 -0.0045131 -0.0752154
0.00663927 -0.00452756 -0.0752162
0.00663285 -0.00453278 -0.0752284
0.00662726 -0.00454102 -0.0752358
0.00662705 -0.00455721 -0.0752404
0.00663236 -0.00457274 -0.0752342
0.00663368 -0.00457726 -0.0752286
0.00663223 -0.00458718 -0.0752285
0.00663315 -0.00458708 -0.0752376
0.00663398 -0.00458691 -0.0752534
0.00662927 -0.00458894 -0.0752544
0.00662923 -0.00460349 -0.0752522
0.00663457 -0.00460519 -0.0752391
0.00662566 -0.00461053 -0.0752444
0.00661184 -0.00462608 -0.075251
0.00659618 -0.00462769 -0.0752462
0.00660055 -0.00463119 -0.0752462
0.00660155 -0.00462542 -0.0752381
0.00660634 -0.00463073 -0.0752296
0.0066134 -0.00463819 -0.0752375
0.00661631 -0.00465893 -0.0752293
0.0066115 -0.00466264 -0.0752353
0.00660689 -0.00466715 -0.0752369
0.00659752 -0.0046637 -0.0752283
0.00658863 -0.00466743 -0.0752332
0.00658195 -0.0046749 -0.0752435
0.00658487 -0.00467713 -0.0752599
0.00659138 -0.00468829 -0.075248
0.0065979 -0.00470163 -0.0752291
0.00659315 -0.00470811 -0.07521
0.00658995 -0.00471804 -0.0751956
0.00658657 -0.00473738 -0.0751996
0.00658034 -0.00473507 -0.0752147
0.00657115 -0.00472855 -0.0752418
0.00658457 -0.0047347 -0.075252
0.00660321 -0.00474671 -0.0752592
0.0066182 -0.00475926 -0.0752587
0.00662166 -0.00476868 -0.0752589
0.00661367 -0.00478081 -0.0752711
0.00660063 -0.00478496 -0.0752843
0.00659772 -0.00477821 -0.075284
0.00659899 -0.00477569 -0.0752848
0.00659353 -0.00476779 -0.0752768
0.006597 -0.00476721 -0.0752784
0.0065944 -0.00477558 -0.0752849
0.00659023 -0.00477472 -0.0752987
0.00659143 -0.0047801 -0.0752951
0.0065821 -0.00479224 -0.075291
0.00657503 -0.00479372 -0.0752863
